
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-08-07


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, San Francisco
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 23, -, 1.0, -, 1.2, 5.0, 0.0, "San Francisco", 1957, "Golden Gate Park", 5.28, Reverse, 9.74, 11.02, 874.72, 0.875, 1.0, RSN23_SANFRAN_GGP010.AT2, RSN23_SANFRAN_GGP100.AT2 , RSN23_SANFRAN_GGP-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-23 SRSS pSa (g)
0.25,0.36275935,0.36275935,0.36275935,0.36275935
0.26,0.32124054,0.32124054,0.32124054,0.32124054
0.28,0.27710494,0.27710494,0.27710494,0.27710494
0.29,0.26053213,0.26053213,0.26053213,0.26053213
0.3,0.24097408,0.24097408,0.24097408,0.24097408
0.32,0.20252088,0.20252088,0.20252088,0.20252088
0.34,0.16696952,0.16696952,0.16696952,0.16696952
0.35,0.15855729,0.15855729,0.15855729,0.15855729
0.36,0.14952167,0.14952167,0.14952167,0.14952167
0.38,0.13604817,0.13604817,0.13604817,0.13604817
0.4,0.14801341,0.14801341,0.14801341,0.14801341
0.42,0.14474008,0.14474008,0.14474008,0.14474008
0.44,0.13493218,0.13493218,0.13493218,0.13493218
0.45,0.12942865,0.12942865,0.12942865,0.12942865
0.46,0.12375293,0.12375293,0.12375293,0.12375293
0.48,0.11362727,0.11362727,0.11362727,0.11362727
0.5,0.10405473,0.10405473,0.10405473,0.10405473
0.55,0.07800216,0.07800216,0.07800216,0.07800216
0.6,0.05802219,0.05802219,0.05802219,0.05802219
0.65,0.05458808,0.05458808,0.05458808,0.05458808
0.667,0.0530971,0.0530971,0.0530971,0.0530971
0.7,0.05304434,0.05304434,0.05304434,0.05304434
0.75,0.04947361,0.04947361,0.04947361,0.04947361
0.8,0.04491038,0.04491038,0.04491038,0.04491038
0.85,0.04029221,0.04029221,0.04029221,0.04029221
0.9,0.03544851,0.03544851,0.03544851,0.03544851
0.95,0.03414582,0.03414582,0.03414582,0.03414582
1.0,0.03161603,0.03161603,0.03161603,0.03161603
1.1,0.02433949,0.02433949,0.02433949,0.02433949
1.2,0.01927985,0.01927985,0.01927985,0.01927985
1.3,0.01795585,0.01795585,0.01795585,0.01795585
1.4,0.01651556,0.01651556,0.01651556,0.01651556
1.5,0.01451557,0.01451557,0.01451557,0.01451557
1.6,0.01215758,0.01215758,0.01215758,0.01215758
1.7,0.00994683,0.00994683,0.00994683,0.00994683
1.8,0.00875417,0.00875417,0.00875417,0.00875417
1.9,0.00785183,0.00785183,0.00785183,0.00785183
2.0,0.0070145,0.0070145,0.0070145,0.0070145
2.2,0.00564695,0.00564695,0.00564695,0.00564695
2.4,0.0045558,0.0045558,0.0045558,0.0045558
2.5,0.00409887,0.00409887,0.00409887,0.00409887
2.6,0.00369593,0.00369593,0.00369593,0.00369593
2.8,0.00314058,0.00314058,0.00314058,0.00314058
3.0,0.00277109,0.00277109,0.00277109,0.00277109
3.2,0.00226741,0.00226741,0.00226741,0.00226741
3.4,0.00191769,0.00191769,0.00191769,0.00191769
3.5,0.00178397,0.00178397,0.00178397,0.00178397
3.6,0.00168881,0.00168881,0.00168881,0.00168881
3.8,0.001472,0.001472,0.001472,0.001472
4.0,0.0012971,0.0012971,0.0012971,0.0012971
4.2,0.00115482,0.00115482,0.00115482,0.00115482
4.4,0.00103313,0.00103313,0.00103313,0.00103313
4.6,0.00092858,0.00092858,0.00092858,0.00092858
4.8,0.00083834,0.00083834,0.00083834,0.00083834
5.0,0.00076043,0.00076043,0.00076043,0.00076043
5.5,0.00060822,0.00060822,0.00060822,0.00060822
6.0,0.00051808,0.00051808,0.00051808,0.00051808
6.5,0.00044739,0.00044739,0.00044739,0.00044739
7.0,0.00038913,0.00038913,0.00038913,0.00038913
7.5,0.00034093,0.00034093,0.00034093,0.00034093
8.0,0.00030081,0.00030081,0.00030081,0.00030081
8.5,0.00026716,0.00026716,0.00026716,0.00026716
9.0,0.00023872,0.00023872,0.00023872,0.00023872
9.5,0.00021452,0.00021452,0.00021452,0.00021452
10.0,0.00019376,0.00019376,0.00019376,0.00019376
11.0,0.00016029,0.00016029,0.00016029,0.00016029
12.0,0.00013475,0.00013475,0.00013475,0.00013475
13.0,0.00011484,0.00011484,0.00011484,0.00011484
14.0,9.903e-05,9.903e-05,9.903e-05,9.903e-05
15.0,8.626e-05,8.626e-05,8.626e-05,8.626e-05
20.0,4.852e-05,4.852e-05,4.852e-05,4.852e-05

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-23 Horizontal-1 pSa (g),RSN-23 Horizontal-2 pSa (g),RSN-23 Vertical pSa (g)
0.01,0.08652391,0.09547279,0.0341
0.02,0.08823135,0.09650021,0.0356
0.022,0.08914909,0.09707002,0.0375
0.025,0.08972549,0.09802037,0.0362
0.029,0.09003308,0.09860644,0.0365
0.03,0.0912552,0.09823257,0.0346
0.032,0.09249406,0.09791739,0.0372
0.035,0.09536732,0.1013455,0.0363
0.036,0.09548154,0.1003903,0.0372
0.04,0.09600049,0.1029098,0.0458
0.042,0.1003996,0.1076339,0.0511
0.044,0.100671,0.1081597,0.0574
0.045,0.0989894,0.1083481,0.059
0.046,0.09845091,0.108705,0.0591
0.048,0.1057891,0.1131388,0.0558
0.05,0.1140694,0.116207,0.0552
0.055,0.09242155,0.1194536,0.0782
0.06,0.08910604,0.1351367,0.104
0.065,0.1111775,0.1371291,0.101
0.067,0.1117517,0.1372678,0.0975
0.07,0.1072804,0.1501452,0.101
0.075,0.1199845,0.1593736,0.0897
0.08,0.1470482,0.1602068,0.108
0.085,0.1363655,0.159936,0.11
0.09,0.1408697,0.2016196,0.102
0.095,0.1497024,0.2291478,0.0807
0.1,0.1704718,0.2217154,0.0713
0.11,0.2031062,0.2577917,0.0836
0.12,0.1552001,0.2860666,0.0853
0.13,0.1878209,0.3393354,0.0975
0.133,0.2096276,0.3421499,0.0919
0.14,0.2509054,0.3085777,0.0669
0.15,0.251811,0.2879815,0.064
0.16,0.2225008,0.247694,0.0703
0.17,0.1778622,0.2693397,0.0753
0.18,0.1549409,0.3058681,0.0605
0.19,0.1561506,0.3267202,0.0507
0.2,0.1649363,0.3474015,0.051
0.22,0.1859829,0.3751259,0.0498
0.24,0.2240748,0.3218222,0.0399
0.25,0.2356124,0.2758281,0.0357
0.26,0.2336155,0.2204978,0.032
0.28,0.2202955,0.1680983,0.0341
0.29,0.2105278,0.1534765,0.0378
0.3,0.197599,0.1379244,0.0389
0.32,0.1647326,0.1178044,0.0324
0.34,0.1305409,0.1041052,0.0261
0.35,0.1148749,0.1092894,0.0245
0.36,0.1006586,0.1105648,0.0236
0.38,0.08001634,0.1100295,0.0247
0.4,0.06825482,0.1313364,0.0303
0.42,0.05820091,0.132523,0.0351
0.44,0.05345225,0.1238933,0.0381
0.45,0.05130178,0.1188272,0.0388
0.46,0.04922515,0.1135415,0.0389
0.48,0.04725828,0.1033335,0.0378
0.5,0.04594084,0.09336394,0.0358
0.55,0.0436748,0.06462854,0.0349
0.6,0.03990036,0.04212524,0.0309
0.65,0.03379001,0.042873,0.0265
0.667,0.0314298,0.04279567,0.0245
0.7,0.0321858,0.04216368,0.0219
0.75,0.02936154,0.03981881,0.0184
0.8,0.02646652,0.03628313,0.015
0.85,0.02451121,0.0319791,0.0135
0.9,0.02107958,0.02849997,0.0121
0.95,0.01670959,0.02977796,0.0109
1.0,0.01350035,0.0285887,0.00976
1.1,0.01066845,0.02187681,0.00779
1.2,0.00810476,0.01749359,0.00724
1.3,0.00600056,0.01692353,0.00768
1.4,0.00593104,0.01541384,0.00741
1.5,0.00571,0.01334532,0.00686
1.6,0.00487045,0.01113936,0.00605
1.7,0.00412581,0.00905081,0.00514
1.8,0.00372746,0.00792095,0.00422
1.9,0.00337122,0.00709127,0.00363
2.0,0.00298066,0.00634971,0.00329
2.2,0.00239869,0.00511217,0.00297
2.4,0.00186433,0.00415687,0.00267
2.5,0.00162397,0.00376344,0.00251
2.6,0.0014087,0.00341694,0.00249
2.8,0.0012081,0.00289892,0.00228
3.0,0.00105625,0.00256189,0.00199
3.2,0.00092002,0.00207237,0.00153
3.4,0.00080043,0.00174266,0.00133
3.5,0.00074679,0.00162014,0.00122
3.6,0.00069707,0.00153824,0.00112
3.8,0.00060846,0.00134035,0.000934
4.0,0.0005328,0.00118262,0.000783
4.2,0.00046825,0.00105563,0.000706
4.4,0.00041312,0.00094694,0.000637
4.6,0.00036596,0.00085343,0.000574
4.8,0.00032549,0.00077258,0.000519
5.0,0.00029066,0.00070269,0.00047
5.5,0.00022357,0.00056564,0.000371
6.0,0.00019789,0.00047879,0.000299
6.5,0.00017567,0.00041146,0.000245
7.0,0.00015653,0.00035626,0.000205
7.5,0.00014005,0.00031084,0.000174
8.0,0.00012584,0.00027322,0.00015
8.5,0.00011355,0.00024182,0.00013
9.0,0.00010287,0.00021542,0.000114
9.5,9.356e-05,0.00019304,0.000101
10.0,8.541e-05,0.00017392,9.06e-05
11.0,7.191e-05,0.00014325,7.36e-05
12.0,6.129e-05,0.00012,6.11e-05
13.0,5.282e-05,0.00010197,5.16e-05
14.0,4.596e-05,8.772e-05,4.42e-05
15.0,4.033e-05,7.626e-05,3.83e-05
20.0,2.32e-05,4.261e-05,2.12e-05
